DATE-YMD,CHLA= NASA-combo satellite Chlorophyll (mg/m3),
2008-07-15,       0.275,
2008-08-15,       0.234,
2008-09-15,       0.375,
2008-10-15,       0.358,
2008-11-15,       0.553,
2008-12-15,       0.489,
2009-01-15,       0.361,
2009-02-15,       0.572,
2009-03-15,       1.078,
2009-04-15,       0.996,
2009-05-15,       2.439,
2009-06-15,       0.489,
2009-07-15,       0.302,
2009-08-15,       0.403,
2009-09-15,       0.317,
2009-10-15,       0.611,
2009-11-15,       0.618,
2009-12-15,       0.503,
2010-01-15,       0.409,
2010-02-15,       0.498,
2010-03-15,       0.633,
2010-04-15,       0.962,
2010-05-15,       1.790,
2010-06-15,       0.698,
2010-07-15,       0.321,
2010-08-15,       0.231,
2010-09-15,       0.303,
2010-10-15,       0.509,
2010-11-15,       0.510,
2010-12-15,       0.540,
2011-01-15,       0.473,
2011-02-15,       0.491,
2011-03-15,       1.281,
2011-04-15,       1.475,
2011-05-15,       1.185,
2011-06-15,       0.875,
2011-07-15,       0.296,
2011-08-15,       0.258,
2011-09-15,       0.430,
2011-10-15,       0.485,
2011-11-15,       0.506,
2011-12-15,       0.320,
2012-01-15,       0.333,
2012-02-15,       0.404,
2012-03-15,       1.207,
2012-04-15,       2.168,
2012-05-15,       1.441,
2012-06-15,       0.513,
2012-07-15,       0.256,
2012-08-15,       0.225,
2012-09-15,       0.230,
2012-10-15,       0.479,
2012-11-15,       0.493,
2012-12-15,       0.339,
2013-01-15,       0.316,
2013-02-15,       0.401,
2013-03-15,       0.763,
2013-04-15,       1.345,
2013-05-15,       1.437,
2013-06-15,       0.521,
2013-07-15,       0.295,
2013-08-15,       0.304,
2013-09-15,       0.474,
2013-10-15,       0.554,
2013-11-15,       0.567,
2013-12-15,       0.441,
2014-01-15,       0.385,
2014-02-15,       0.459,
2014-03-15,       0.743,
2014-04-15,       1.614,
2014-05-15,       1.139,
2014-06-15,       0.482,
2014-07-15,       0.310,
2014-08-15,       0.251,
2014-09-15,       0.303,
2014-10-15,       0.700,
2014-11-15,       0.470,
2014-12-15,       0.367,
2015-01-15,       0.371,
2015-02-15,       0.497,
2015-03-15,       0.872,
2015-04-15,       1.040,
2015-05-15,       1.221,
2015-06-15,       0.323,
2015-07-15,       0.239,
2015-08-15,       0.234,
2015-09-15,       0.378,
2015-10-15,       0.498,
2015-11-15,       0.586,
2015-12-15,       0.559,
2016-01-15,       0.555,
2016-02-15,       0.558,
2016-03-15,       0.918,
2016-04-15,       1.526,
2016-05-15,       0.736,
2016-06-15,       0.313,
2016-07-15,       0.192,
2016-08-15,       0.291,
2016-09-15,       0.383,
2016-10-15,       0.554,
2016-11-15,       0.549,
2016-12-15,       0.453,
2017-01-15,       0.392,
2017-02-15,       0.364,
2017-03-15,       0.739,
2017-04-15,       1.041,
2017-05-15,       0.920,
2017-06-15,       0.384,
2017-07-15,       0.282,
2017-08-15,       0.318,
2017-09-15,       0.446,
2017-10-15,       0.698,
2017-11-15,       0.905,
2017-12-15,       0.449,
2018-01-15,       0.463,
2018-02-15,       0.430,
2018-03-15,       0.718,
2018-04-15,       0.900,
2018-05-15,       0.824,
2018-06-15,       0.737,
2018-07-15,       0.279,
2018-08-15,       0.263,
2018-09-15,       0.322,
2018-10-15,       0.514,
2018-11-15,       0.548,
2018-12-15,       0.420,
2019-01-15,       0.376,
2019-02-15,       0.503,
2019-03-15,       0.524,
2019-04-15,       1.008,
2019-05-15,       1.475,
2019-06-15,       0.470,
2019-07-15,       0.252,
2019-08-15,       0.315,
2019-09-15,       0.325,
2019-10-15,       0.648,
2019-11-15,       0.753,
2019-12-15,       0.460,
2020-01-15,       0.396,
2020-02-15,       0.401,
2020-03-15,       0.718,
2020-04-15,       1.024,
2020-05-15,       1.197,
2020-06-15,       0.561,
2020-07-15,       0.310,
2020-08-15,       0.298,
2020-09-15,       0.285,
2020-10-15,       0.519,
2020-11-15,       0.731,
2020-12-15,       0.482,
2021-01-15,       0.417,
2021-02-15,       0.431,
2021-03-15,       0.678,
2021-04-15,       1.231,
2021-05-15,       0.975,
2021-06-15,       0.587,
2021-07-15,       0.264,
2021-08-15,       0.251,
2021-09-15,       0.290,
2021-10-15,       0.410,
2021-11-15,       0.571,
2021-12-15,       0.444,
